geometry,address
POINT (-8.503359969939737 51.90209998372109),"15 Hollyhill Lane, Cork"
POINT (-8.513929968939124 51.87841000122876),"5 Bishopscourt Way, Cork"
POINT (-8.474091447736468 51.9129027980954),"34 Orchard Court, Cork"
POINT (-8.570379991349938 51.871790016010294),"Four Fountains, Ballinora, Cork"
POINT (-8.473149998333838 51.90166999208819),"Camden Court, APARTMENT 1 Knapps Square, Cork"
POINT (-8.60788561099433 51.894448249874685),"Coolyduff, Cork"
POINT (-8.849977343902957 51.6217400927134),"Ballintemple, Cork"
POINT (-8.609530017063747 51.88976999460243),"1 Peter O'Donovan Crescent, Ballincollig, Cork"
POINT (-8.51441997499876 51.873639985860166),"229 Eagle Valley, Cork"
POINT (-8.44084999917115 51.88128998125032),"Kilbrin, Woodview, Cork"
POINT (-8.474030014348244 51.892099996047136),"28 Tower Street, Cork"
POINT (-8.618616435084931 51.92043210999983),"Coolflugh, Cloghroe, Cork"
POINT (-8.441800004077038 51.883189991062125),"20 Endsleigh Estate, Cork"
POINT (-8.503189984943333 51.885489985293475),"10 Sheares Park, Cork"
POINT (-8.398110004327322 51.92636001944837),"16 Heathervue, Glanmire, Cork"
POINT (-8.431739960066864 51.86956998513526),"7 Nutgrove Mews, Douglas, Cork"
POINT (-8.516600024195668 51.88005000440407),"Curraheen, Bishopstown Road, Cork"
POINT (-8.530000005164197 51.88103001652334),"Aisling, Rossa Avenue, Cork"
POINT (-8.493850030234938 51.88538001472381),"5 Hillside Avenue, Cork"
POINT (-8.612599972920776 51.88525001140556),"5 Avoncourt, Ballincollig, Cork"
POINT (-8.590660027793419 51.88399504102605),"Distillery Court, Ballincollig, Cork"
POINT (-8.434299960934709 51.894620015236825),"8 Churchyard Lane, Cork"
POINT (-8.433539973773776 51.87054999725453),"29 Ryecroft, Douglas, Cork"
POINT (-8.50279997498859 51.872509979583555),"37 Pinewood, Cork"
POINT (-8.480089962706018 51.8927500126384),"71 Barrack Street, Cork"
POINT (-8.4061800168856 51.87491998629409),"Loughmahon View, The Close, Cork"
POINT (-8.513970034436312 51.88587999524822),"15 Bishopstown Avenue, Cork"
POINT (-8.592599997572876 51.93106000401593),"4 Shournagh Drive, Cork"
POINT (-8.483450016231956 51.89588999929646),"Lancaster Gate, 1 Western Road, Cork"
POINT (-8.434589974784558 51.909150002481965),"22 Iona Place, Mayfield, Cork"
POINT (-8.513515819679442 51.89622269077401),"Atkins Hall, Cork"
POINT (-46.70024999999998 -23.605539999999962),River Towers
POINT (-8.567901577415407 51.940138219373566),"The Beeches, Knockacorbally, Cork"
POINT (-8.39654743575432 51.88172965649736),"The Haven, Cork"
POINT (-8.517190026360197 51.88681000931504),"1 Highfield Lawn, Cork"
POINT (-8.5537799673871 51.90388998105371),"Rosanna House, Rosanna, Cork"
POINT (-8.434849981421081 51.90393000464138),"The Moorings, APARTMENT 1 Woodhill Park, Cork"
POINT (-8.62644000380601 51.88686998183226),"37 The Sycamores, Ballincollig, Cork"
POINT (-8.445670012592188 51.88701000152483),"55 Beechwood Park, Cork"
POINT (-8.455269973937078 51.90859000753079),"34 Ballyhooly Road, Cork"
POINT (-8.397009999999966 51.94056000000006),"Sallybrook, Cork"
POINT (-8.445589965416872 51.904689991802286),"1 The View, Montenotte, Cork"
POINT (-8.50284004048578 51.89841999295095),"Inagh, 12 The Grove, Cork"
POINT (-8.47354000828858 51.865130007204186),"125 Curragh Woods, Cork"
POINT (-8.415359961062364 51.89140999777774),"40 Cherry Lawn, Blackrock, Cork"
POINT (-8.512660026789007 51.88988998154639),"39 Farranlea Grove, Cork"
POINT (-8.516040029244522 51.88855998306002),"68 Model Farm Road, Cork"
POINT (-8.470260001937987 51.90614001914213),"21 Lansdowne Court, Cork"
POINT (-8.576150009676894 51.88499997923384),"24 The Cloisters, Ballincollig, Cork"
POINT (-8.472919998910697 51.9021901943874),"Carroll's Quay, Cork"
